unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1.61957E+12,28-04-2021 00:00,NEO/USDT,94.117,94.805,94.1,94.506,4744.056,448468.3708,613
1.61948E+12,27-04-2021 00:00,NEO/USDT,90.158,95.714,88.669,94.117,1384690.05,128712308,204046
1.6194E+12,26-04-2021 00:00,NEO/USDT,79.595,91.5,78.8,90.206,1865354.397,161920269.6,236525
1.61931E+12,25-04-2021 00:00,NEO/USDT,79.501,88.2,74.111,79.596,1754821.194,142588097.8,193842
1.61922E+12,24-04-2021 00:00,NEO/USDT,86.102,90.5,78.734,79.544,2115519.947,176914339.4,226255
1.61914E+12,23-04-2021 00:00,NEO/USDT,89.765,91.639,73.336,86.096,3580640.097,291356035.7,380095
1.61905E+12,22-04-2021 00:00,NEO/USDT,96.823,105.181,85,89.828,3119238.216,299680472.1,387436
1.61896E+12,21-04-2021 00:00,NEO/USDT,108.138,109.241,93.998,96.846,2180548.751,223568806,305416
1.61888E+12,20-04-2021 00:00,NEO/USDT,109.007,118,97.652,108.138,4124037.805,440804566.1,541118
1.61879E+12,19-04-2021 00:00,NEO/USDT,119.84,133.837,102.692,109.129,7982318.411,940314861.6,1089115
1.6187E+12,18-04-2021 00:00,NEO/USDT,93.956,120.989,73,119.841,6366966.962,606636140.6,808622
1.61862E+12,17-04-2021 00:00,NEO/USDT,86.921,105.77,85.933,93.96,4331271.236,413678320.3,531677
1.61853E+12,16-04-2021 00:00,NEO/USDT,74.813,88.189,74.099,86.833,3930844.84,319685766.7,501672
1.61844E+12,15-04-2021 00:00,NEO/USDT,69.158,75,66.462,74.829,1332624.753,93692131.96,243740
1.61836E+12,14-04-2021 00:00,NEO/USDT,66.643,70.943,63.505,69.12,1882780.333,127600387.6,234672
1.61827E+12,13-04-2021 00:00,NEO/USDT,64.601,68.4,62.153,66.587,1428317.477,93549663.82,145143
1.61819E+12,12-04-2021 00:00,NEO/USDT,63.887,64.992,60.714,64.65,1154656.337,72884810.72,120355
1.6181E+12,11-04-2021 00:00,NEO/USDT,61.691,66.8,60.9,63.922,1483054.84,94671555.59,166205
1.61801E+12,10-04-2021 00:00,NEO/USDT,60.799,63.389,59.391,61.685,999466.921,61688987.46,104716
1.61793E+12,09-04-2021 00:00,NEO/USDT,63.319,63.422,60.1,60.801,835889.102,51547928.57,82744
1.61784E+12,08-04-2021 00:00,NEO/USDT,59.784,63.369,58.049,63.351,1164107.371,70997414.15,124933
1.61775E+12,07-04-2021 00:00,NEO/USDT,63.036,68.5,56.354,59.778,3129801.646,196684227.6,319063
1.61767E+12,06-04-2021 00:00,NEO/USDT,59.092,64.75,57.52,63.036,2811251.814,173038635.8,282762
1.61758E+12,05-04-2021 00:00,NEO/USDT,54.566,59.69,51.618,59.068,1771998.197,98726839.51,205946
1.61749E+12,04-04-2021 00:00,NEO/USDT,50.733,54.616,49.61,54.567,967603.063,51084667.38,104977
1.61741E+12,03-04-2021 00:00,NEO/USDT,52.961,56.96,50.422,50.709,1693789.38,90890761.22,172120
1.61732E+12,02-04-2021 00:00,NEO/USDT,52.364,55.272,50.937,52.958,1249746.53,66589802.11,117711
1.61724E+12,01-04-2021 00:00,NEO/USDT,50.778,53.853,50.25,52.326,2146651.456,112108676.5,198335
1.61715E+12,31-03-2021 00:00,NEO/USDT,44.97,52.22,42.466,50.778,2591126.529,122769517.6,230604
1.61706E+12,30-03-2021 00:00,NEO/USDT,45.496,46.098,44.202,44.947,824951.515,37167700.15,70523
1.61698E+12,29-03-2021 00:00,NEO/USDT,44.753,46.523,43.372,45.499,1316310.553,59618878.11,131627
1.61689E+12,28-03-2021 00:00,NEO/USDT,41.113,45,40.801,44.763,1890169.296,82212680.52,178343
1.6168E+12,27-03-2021 00:00,NEO/USDT,41.684,42.7,40.335,41.106,766260.922,31841454.38,71174
1.61672E+12,26-03-2021 00:00,NEO/USDT,38.633,41.983,38.621,41.652,921573.763,37558277.57,94980
1.61663E+12,25-03-2021 00:00,NEO/USDT,39.538,40.948,37.421,38.632,1584310.555,62069279.75,151935
1.61654E+12,24-03-2021 00:00,NEO/USDT,41.053,45.394,37.763,39.529,2026420.526,86463490.55,197260
1.61646E+12,23-03-2021 00:00,NEO/USDT,40.7,42.35,40.062,41.081,899444.107,37112476.49,90821
1.61637E+12,22-03-2021 00:00,NEO/USDT,42.452,44.222,40.143,40.695,1018378.368,43229889.54,101672
1.61628E+12,21-03-2021 00:00,NEO/USDT,43.072,43.55,41.072,42.421,798237.918,33799523.11,68950
1.6162E+12,20-03-2021 00:00,NEO/USDT,44.012,45.465,42.85,43.08,841664.296,37433324.15,69301
1.61611E+12,19-03-2021 00:00,NEO/USDT,43.645,45.63,42.413,44.023,735221.005,32730914.93,68742
1.61603E+12,18-03-2021 00:00,NEO/USDT,46.428,48.001,43.09,43.643,1440993.504,65513742.9,133522
1.61594E+12,17-03-2021 00:00,NEO/USDT,40.813,46.563,40.12,46.428,2522575.526,109868136.6,228897
1.61585E+12,16-03-2021 00:00,NEO/USDT,38.596,40.945,37.43,40.793,949922.23,37509923.2,100155
1.61577E+12,15-03-2021 00:00,NEO/USDT,39.561,40.96,37.233,38.597,1158234.062,45302211.67,113758
1.61568E+12,14-03-2021 00:00,NEO/USDT,42.08,42.939,39.55,39.616,815769.698,33317672.19,71465
1.61559E+12,13-03-2021 00:00,NEO/USDT,39.888,42.5,38.36,42.044,1043969.716,42846678.17,91351
1.61551E+12,12-03-2021 00:00,NEO/USDT,41.967,42.064,38.43,39.895,1004438.472,40346498.05,84792
1.61542E+12,11-03-2021 00:00,NEO/USDT,40.868,42.662,39.015,41.937,1087173.786,44329637.08,94375
