unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1.61957E+12,28-04-2021 00:00,XLM/USDT,0.50964,0.51401,0.5092,0.51121,1155408.7,591158.8447,2572
1.61948E+12,27-04-2021 00:00,XLM/USDT,0.48596,0.52246,0.47626,0.50963,235691948.5,118745752,275286
1.6194E+12,26-04-2021 00:00,XLM/USDT,0.41632,0.48655,0.41392,0.486,275058388.1,126684595.5,271531
1.61931E+12,25-04-2021 00:00,XLM/USDT,0.42498,0.44483,0.40031,0.4162,193136275.2,82423473.95,147577
1.61922E+12,24-04-2021 00:00,XLM/USDT,0.45065,0.46126,0.41202,0.42507,282667066.5,123990630.1,180196
1.61914E+12,23-04-2021 00:00,XLM/USDT,0.4498,0.45723,0.35823,0.45069,492741000.7,204942302.6,408908
1.61905E+12,22-04-2021 00:00,XLM/USDT,0.48891,0.515,0.444,0.44951,308597892.4,149207923.5,280940
1.61896E+12,21-04-2021 00:00,XLM/USDT,0.52895,0.53756,0.48404,0.48894,257880130.7,131387491.4,250800
1.61888E+12,20-04-2021 00:00,XLM/USDT,0.49947,0.5313,0.468,0.52877,278004526.2,139102217.7,276433
1.61879E+12,19-04-2021 00:00,XLM/USDT,0.54483,0.56601,0.48858,0.49982,312750231.6,165366506,466817
1.6187E+12,18-04-2021 00:00,XLM/USDT,0.5913,0.60041,0.4375,0.54459,455418601.4,235567043.5,473520
1.61862E+12,17-04-2021 00:00,XLM/USDT,0.6099,0.644,0.58802,0.59137,263520955.4,162419265.3,344860
1.61853E+12,16-04-2021 00:00,XLM/USDT,0.63966,0.65371,0.56516,0.61005,376225078.7,228736107.5,444341
1.61844E+12,15-04-2021 00:00,XLM/USDT,0.63509,0.6498,0.61387,0.63966,316537391.5,199106861.6,352940
1.61836E+12,14-04-2021 00:00,XLM/USDT,0.65701,0.691,0.58555,0.63505,619287714.6,396746595.4,705553
1.61827E+12,13-04-2021 00:00,XLM/USDT,0.59051,0.684,0.57629,0.65701,863195026.4,547496050.3,945656
