unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1.61957E+12,28-04-2021 00:00,XRP/USDT,1.4017,1.417,1.4002,1.4124,4668455.68,6584172.851,6502
1.61948E+12,27-04-2021 00:00,XRP/USDT,1.3629,1.462,1.3284,1.4017,1510880107,2118259482,1761603
1.6194E+12,26-04-2021 00:00,XRP/USDT,1.0353,1.375,1.0133,1.3629,1871916063,2295854108,1945810
1.61931E+12,25-04-2021 00:00,XRP/USDT,1.04971,1.156,0.9418,1.0351,1026066204,1083686711,961195
1.61922E+12,24-04-2021 00:00,XRP/USDT,1.17019,1.172,1.01753,1.04833,1120813592,1223943585,1014696
1.61914E+12,23-04-2021 00:00,XRP/USDT,1.15489,1.19724,0.88601,1.17073,2651341964,2842229472,2328769
1.61905E+12,22-04-2021 00:00,XRP/USDT,1.2911,1.41947,1.0859,1.15489,1771540958,2272197865,1927528
1.61896E+12,21-04-2021 00:00,XRP/USDT,1.385,1.4645,1.27545,1.29097,1301403506,1787718097,1605075
1.61888E+12,20-04-2021 00:00,XRP/USDT,1.30941,1.44796,1.18,1.38501,1522196294,1998260575,1757479
1.61879E+12,19-04-2021 00:00,XRP/USDT,1.40797,1.5339,1.251,1.30945,1608073829,2226346360,1996347
1.6187E+12,18-04-2021 00:00,XRP/USDT,1.53988,1.56505,1.16,1.40797,2048345302,2726554646,2556310
1.61862E+12,17-04-2021 00:00,XRP/USDT,1.54805,1.74163,1.52991,1.53896,1108826380,1795844763,1726909
1.61853E+12,16-04-2021 00:00,XRP/USDT,1.75781,1.81041,1.42,1.54805,1805450665,2928098754,2775730
1.61844E+12,15-04-2021 00:00,XRP/USDT,1.83396,1.885,1.65243,1.75781,1124377880,1972494342,1857832
1.61836E+12,14-04-2021 00:00,XRP/USDT,1.79607,1.96689,1.56001,1.83468,2119704175,3790184504,3246570
1.61827E+12,13-04-2021 00:00,XRP/USDT,1.4685,1.88888,1.41778,1.79611,2515240116,4232702000,3544673
1.61819E+12,12-04-2021 00:00,XRP/USDT,1.35118,1.475,1.31804,1.46843,1129501824,1551301547,1444928
1.6181E+12,11-04-2021 00:00,XRP/USDT,1.37215,1.5,1.305,1.35118,1972667902,2759553622,2505282
1.61801E+12,10-04-2021 00:00,XRP/USDT,1.01754,1.399,1.00617,1.3728,2713439020,3353669232,3271415
1.61793E+12,09-04-2021 00:00,XRP/USDT,1.05571,1.0849,0.9808,1.01721,964539570.1,990383346,996403
1.61784E+12,08-04-2021 00:00,XRP/USDT,0.91544,1.07294,0.90128,1.05599,1232242484,1202251447,1204812
1.61775E+12,07-04-2021 00:00,XRP/USDT,1.09666,1.10882,0.856,0.91542,2128341584,2057878538,2112137
1.61767E+12,06-04-2021 00:00,XRP/USDT,0.91584,1.119,0.7931,1.09663,4053245753,3956999210,3381698
1.61758E+12,05-04-2021 00:00,XRP/USDT,0.63501,0.93999,0.6194,0.91584,3325470561,2594712865,2379045
1.61749E+12,04-04-2021 00:00,XRP/USDT,0.57836,0.63599,0.56591,0.635,664457346.2,398033638.9,490874
1.61741E+12,03-04-2021 00:00,XRP/USDT,0.60701,0.64262,0.573,0.57831,991064844.8,610941357.4,742609
1.61732E+12,02-04-2021 00:00,XRP/USDT,0.57061,0.61,0.56522,0.60701,800475396.4,469092621.7,574819
1.61724E+12,01-04-2021 00:00,XRP/USDT,0.5698,0.59555,0.54864,0.57087,710919375,403620336,524609
1.61715E+12,31-03-2021 00:00,XRP/USDT,0.56207,0.57682,0.52624,0.56982,666984204.3,368338400,524758
1.61706E+12,30-03-2021 00:00,XRP/USDT,0.56528,0.588,0.55903,0.5621,574769642.5,328603814.1,423890
1.61698E+12,29-03-2021 00:00,XRP/USDT,0.5455,0.57082,0.54317,0.56538,534252547.3,299295436.4,370154
1.61689E+12,28-03-2021 00:00,XRP/USDT,0.54735,0.56075,0.53879,0.54552,341522011.5,187521498.1,268005
1.6168E+12,27-03-2021 00:00,XRP/USDT,0.56348,0.57464,0.5342,0.54752,455498717.7,252238439.3,324100
1.61672E+12,26-03-2021 00:00,XRP/USDT,0.51034,0.57689,0.50999,0.56357,737749968.5,403613462.4,515668
1.61663E+12,25-03-2021 00:00,XRP/USDT,0.48022,0.5248,0.454,0.51058,914285330.6,451595543.2,494290
1.61654E+12,24-03-2021 00:00,XRP/USDT,0.54945,0.56302,0.45212,0.48021,894167588.1,467418386.2,618867
1.61646E+12,23-03-2021 00:00,XRP/USDT,0.54403,0.59638,0.5378,0.5498,1094151403,620265578.7,672499
1.61637E+12,22-03-2021 00:00,XRP/USDT,0.51661,0.6,0.50082,0.5441,1648699048,922895186.8,1078272
1.61628E+12,21-03-2021 00:00,XRP/USDT,0.52584,0.54691,0.49508,0.51651,879573341.3,452720932.9,572056
1.6162E+12,20-03-2021 00:00,XRP/USDT,0.4665,0.54999,0.46424,0.52613,1164006495,589598402.9,767634
1.61611E+12,19-03-2021 00:00,XRP/USDT,0.46899,0.47536,0.45848,0.46651,336947303.5,158130280.8,247072
1.61603E+12,18-03-2021 00:00,XRP/USDT,0.46993,0.4905,0.46558,0.46893,555296456.6,263757843.9,382664
1.61594E+12,17-03-2021 00:00,XRP/USDT,0.46037,0.48245,0.45317,0.4698,564997453.7,263902659.5,357376
